DATE,LOCAL.TIME..SENSOR.,COUNTLINENAME,DIRECTION,CAR,PEDESTRIAN,CYCLIST,MOTORBIKE,BUS,OGV1,OGV2,LGV,DAY
2021-05-10T00:00:00Z,2021-05-10T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,132,2,0,0,0,0,0,Mon
2021-05-10T00:00:00Z,2021-05-10T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,342,11,1,0,0,0,0,Mon
2021-05-10T00:00:00Z,2021-05-10T01:00:00Z,LBS15_ButterHill_Road_S53,out,1815,21,72,39,17,17,1,286,Mon
2021-05-11T00:00:00Z,2021-05-11T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,5,202,7,1,0,0,0,0,Tue
2021-05-11T00:00:00Z,2021-05-11T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,10,135,4,0,0,0,0,2,Tue
2021-05-11T00:00:00Z,2021-05-11T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,3,384,23,1,0,0,0,1,Tue
2021-05-11T00:00:00Z,2021-05-11T01:00:00Z,LBS15_ButterHill_Road_S53,in,2107,76,124,41,5,12,0,451,Tue
2021-05-11T00:00:00Z,2021-05-11T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,0,194,29,1,0,0,0,1,Tue
2021-05-11T00:00:00Z,2021-05-11T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,144,5,0,0,0,0,0,Tue
2021-05-11T00:00:00Z,2021-05-11T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,340,7,2,0,0,0,0,Tue
2021-05-11T00:00:00Z,2021-05-11T01:00:00Z,LBS15_ButterHill_Road_S53,out,1938,26,117,34,11,9,0,293,Tue
2021-05-12T00:00:00Z,2021-05-12T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,3,199,22,2,0,0,0,0,Wed
2021-05-12T00:00:00Z,2021-05-12T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,9,131,2,0,0,0,0,0,Wed
2021-05-12T00:00:00Z,2021-05-12T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,3,415,24,4,0,0,0,2,Wed
