UTC Time,Local Time (Sensor),countlineId,countlineName,direction,Car,Motorbike,Bus,OGV1,OGV2,LGV
11/10/2021 00:25,11/10/2021 01:25,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 00:25,11/10/2021 01:25,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 00:30,11/10/2021 01:30,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 00:30,11/10/2021 01:30,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 00:30,11/10/2021 01:30,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 00:30,11/10/2021 01:30,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 00:30,11/10/2021 01:30,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 00:30,11/10/2021 01:30,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 00:30,11/10/2021 01:30,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 00:30,11/10/2021 01:30,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 00:35,11/10/2021 01:35,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 00:35,11/10/2021 01:35,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 00:35,11/10/2021 01:35,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 00:35,11/10/2021 01:35,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 00:35,11/10/2021 01:35,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 00:35,11/10/2021 01:35,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 00:35,11/10/2021 01:35,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 00:35,11/10/2021 01:35,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 00:40,11/10/2021 01:40,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 00:40,11/10/2021 01:40,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 00:40,11/10/2021 01:40,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 00:40,11/10/2021 01:40,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 00:40,11/10/2021 01:40,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 00:40,11/10/2021 01:40,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 00:40,11/10/2021 01:40,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 00:40,11/10/2021 01:40,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 00:45,11/10/2021 01:45,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 00:45,11/10/2021 01:45,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 00:45,11/10/2021 01:45,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 00:45,11/10/2021 01:45,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 00:45,11/10/2021 01:45,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 00:45,11/10/2021 01:45,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 00:45,11/10/2021 01:45,22931,LBS15_ButterHill_Road_S53,in,1,0,0,0,0,0
11/10/2021 00:45,11/10/2021 01:45,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 00:50,11/10/2021 01:50,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 00:50,11/10/2021 01:50,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 00:50,11/10/2021 01:50,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 00:50,11/10/2021 01:50,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
