UTC Time,Local Time (Sensor),countlineName,direction,Car,Pedestrian,Cyclist,Motorbike,Bus,OGV1,OGV2,LGV,,
22/10/2021 06:00,22/10/2021 07:00,L16_ApeldoornDr_road_and_paths_s144,in,4,1,0,0,0,0,0,0,,
22/10/2021 06:00,22/10/2021 07:00,L16_ApeldoornDr_road_and_paths_s144,out,0,1,0,0,0,0,0,0,,
22/10/2021 06:15,22/10/2021 07:15,L16_ApeldoornDr_road_and_paths_s144,in,1,0,0,0,0,0,0,0,,
22/10/2021 06:15,22/10/2021 07:15,L16_ApeldoornDr_road_and_paths_s144,out,2,0,0,0,0,0,0,0,,
22/10/2021 06:30,22/10/2021 07:30,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 06:30,22/10/2021 07:30,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 06:45,22/10/2021 07:45,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 06:45,22/10/2021 07:45,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 07:00,22/10/2021 08:00,L16_ApeldoornDr_road_and_paths_s144,in,3,0,0,0,0,0,0,0,,
22/10/2021 07:00,22/10/2021 08:00,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 07:15,22/10/2021 08:15,L16_ApeldoornDr_road_and_paths_s144,in,7,0,0,0,0,0,0,0,,
22/10/2021 07:15,22/10/2021 08:15,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 07:30,22/10/2021 08:30,L16_ApeldoornDr_road_and_paths_s144,in,1,0,0,0,0,0,0,0,,
22/10/2021 07:30,22/10/2021 08:30,L16_ApeldoornDr_road_and_paths_s144,out,0,1,0,0,0,0,0,0,,
22/10/2021 07:45,22/10/2021 08:45,L16_ApeldoornDr_road_and_paths_s144,in,2,0,0,0,0,1,0,1,,
22/10/2021 07:45,22/10/2021 08:45,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,1,,
22/10/2021 08:00,22/10/2021 09:00,L16_ApeldoornDr_road_and_paths_s144,in,0,2,0,0,0,0,0,0,,
22/10/2021 08:00,22/10/2021 09:00,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 08:15,22/10/2021 09:15,L16_ApeldoornDr_road_and_paths_s144,in,1,0,0,0,0,0,0,0,,
22/10/2021 08:15,22/10/2021 09:15,L16_ApeldoornDr_road_and_paths_s144,out,0,2,0,0,0,0,0,0,,
22/10/2021 08:30,22/10/2021 09:30,L16_ApeldoornDr_road_and_paths_s144,in,2,0,0,0,0,0,0,0,,
22/10/2021 08:30,22/10/2021 09:30,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 08:45,22/10/2021 09:45,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 08:45,22/10/2021 09:45,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 09:00,22/10/2021 10:00,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 09:00,22/10/2021 10:00,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,1,,
22/10/2021 09:15,22/10/2021 10:15,L16_ApeldoornDr_road_and_paths_s144,in,3,0,0,0,0,0,0,0,,
22/10/2021 09:15,22/10/2021 10:15,L16_ApeldoornDr_road_and_paths_s144,out,1,0,0,0,0,0,0,0,,
22/10/2021 09:30,22/10/2021 10:30,L16_ApeldoornDr_road_and_paths_s144,in,17,0,0,0,0,0,0,3,,68
22/10/2021 09:30,22/10/2021 10:30,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,1,,
22/10/2021 09:45,22/10/2021 10:45,L16_ApeldoornDr_road_and_paths_s144,in,10,0,0,0,0,0,0,0,,
